,Player_URL,Name,Date_of_Birth,City_of_Birth,Country_of_Birth,Citizenship,Height,Foot,Agent,Outfitter,Main_Position,Other_Position,Youth_Club,Avg Temp
25,https://www.transfermarkt.com/kaka/profil/spieler/3366,Kaká,22/04/1982,Gama,Brazil,"['Brazil', 'Italy']",186,both,,adidas,Attacking Midfield,"['Left Winger', 'Right Winger']",['FC São Paulo (1994-2000)'],25.56622917
26,https://www.transfermarkt.com/alex-fernandez/profil/spieler/89733,Álex Fernández,15/10/1992,Alcalá de Henares,Spain,['Spain'],183,right,Niagara Sports Company,,Attacking Midfield,"['Central Midfield', 'Right Midfield']",['R.S.D. Alcalá'],14.64146131
27,https://www.transfermarkt.com/denis-cheryshev/profil/spieler/98322,Denis Cheryshev,26/12/1990,Nizhniy Novgorod,UdSSR,"['Russia', 'Spain']",179,left,Wasserman,,Left Winger,"['Right Winger', 'Second Striker']",,#N/A
28,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320,Ángel Di María,14/02/1988,Rosario,Argentina,"['Argentina', 'Italy']",180,left,Gestifute,adidas,Right Winger,"['Left Winger', 'Attacking Midfield']",['CA Rosario Central (1992-2005)'],#N/A
29,https://www.transfermarkt.com/jose-callejon/profil/spieler/61253,José Callejón,11/02/1987,Motril,Spain,['Spain'],178,right,Manuel García Quilón,adidas,Right Winger,"['Left Winger', 'Right Midfield']",['ADF Costa Tropical (1993-2002)'],14.64146131
30,https://www.transfermarkt.com/cristiano-ronaldo/profil/spieler/8198,Cristiano Ronaldo,05/02/1985,Funchal,Portugal,['Portugal'],187,right,Gestifute,Nike,Centre-Forward,"['Left Winger', 'Right Winger']","['CF Andorinha (1992-1995)', ' \r\nCD Nacional (1995-1997)', ' \r\nSporting CP (1997-2002)']",15.61498214
31,https://www.transfermarkt.com/karim-benzema/profil/spieler/18922,Karim Benzema,19/12/1987,Lyon,France,"['France', 'Algeria']",185,right,,adidas,Centre-Forward,"['Left Winger', 'Right Winger']","['AS Buers Villeurbanne (1993-1996)', ' SC Bron Terraillon (1996-1997)', ' Olympique Lyonnais (1997-2005)']",13.84704464
32,https://www.transfermarkt.com/gonzalo-higuain/profil/spieler/39153,Gonzalo Higuaín,10/12/1987,Brest,France,"['Argentina', 'France']",184,right,Relatives,Nike,Centre-Forward,,,13.84704464
33,https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223,Álvaro Morata,23/10/1992,Madrid,Spain,['Spain'],189,right,Niagara Sports Company,adidas,Centre-Forward,['Left Winger'],,14.64146131
34,https://www.transfermarkt.com/daniel-carvajal/profil/spieler/138927,Daniel Carvajal,11/01/1992,Leganés,Spain,['Spain'],173,right,Ginés Carvajal,Nike,Right-Back,,['ADCR Lemans (1999-2002)'],14.64146131
35,https://www.transfermarkt.com/lucas-vazquez/profil/spieler/221316,Lucas Vázquez,01/07/1991,A Coruña,Spain,['Spain'],173,right,AC Talent,adidas,Right-Back,"['Right Winger', 'Left Winger']",['CD Curtis (2000-2004)\r\nUral CF (2004-2007)'],14.64146131
36,https://www.transfermarkt.com/asier-illarramendi/profil/spieler/59344,Asier Illarramendi,08/03/1990,Mutriku,Spain,['Spain'],179,right,Bahía Internacional,,Defensive Midfield,['Central Midfield'],,14.64146131
37,https://www.transfermarkt.com/isco/profil/spieler/85288,Isco,21/04/1992,Benalmádena,Spain,['Spain'],176,right,Gestifute,Nike,Attacking Midfield,"['Left Winger', 'Central Midfield']","['PDM Benalmádena (1997–1999)', ' Atlético Benamiel C.F. (1999-2009)']",14.64146131
38,https://www.transfermarkt.com/jese/profil/spieler/134936,Jesé,26/02/1993,Las Palmas de Gran Canaria,Spain,['Spain'],178,right,Relatives,Nike,Left Winger,"['Centre-Forward', 'Right Winger']","['El Pilar F. C. (2003-2005)', ' Huracán de Gran Canaria (2005-2007)']",14.64146131
39,https://www.transfermarkt.com/burgui/profil/spieler/246277,Burgui,29/10/1993,Burguillos del Cerro,Spain,['Spain'],186,right,,,Left Winger,"['Right Winger', 'Attacking Midfield']",['CD Burguillos (2003-2010)'],14.64146131
