,Player_URL,Name,Date_of_Birth,City_of_Birth,Country_of_Birth,Citizenship,Height,Foot,Agent,Outfitter,Main_Position,Other_Position,Youth_Club
307,https://www.transfermarkt.com/aitor-cantalapiedra/profil/spieler/323740,Aitor Cantalapiedra,1996-02-10,Barcelona,Spain,['Spain'],177.0,left,Goal Management,adidas,Right Winger,['Left Winger'],"['PB Cinc Copes (2001/02)', ' FC Barcelona (2002–2006)', ' RCD Espanyol Barcelona (2006–2009)', 'UE Sant Andreu (2009/10)', 'CF Damm (2010–2012)', ' UE Cornellà (2012–2014)', ' FC Barcelona (2014/15)']"
308,https://www.transfermarkt.com/dani-romera/profil/spieler/271451,Dani Romera,1995-08-23,Almería,Spain,['Spain'],172.0,right,Sports&Life,,Centre-Forward,"['Left Winger', 'Right Winger']",
309,https://www.transfermarkt.com/jasper-cillessen/profil/spieler/146227,Jasper Cillessen,1989-04-22,Nijmegen,Netherlands,['Netherlands'],187.0,right,SEG,Mizuno,Goalkeeper,,"['De Treffers (-2001)', ' NEC NIjmegen (2001-2008)']"
310,https://www.transfermarkt.com/samuel-umtiti/profil/spieler/126540,Samuel Umtiti,1993-11-14,Yaoundé,Cameroon,"['France', 'Cameroon']",182.0,left,AC Talent,Puma,Centre-Back,,"['Ménival FC (1998-2002)', ' Olympique Lyonnais (2002-2012)']"
311,https://www.transfermarkt.com/marlon/profil/spieler/273236,Marlon,1995-09-07,Duque de Caxias,Brazil,['Brazil'],182.0,right,Promanager,adidas,Centre-Back,['Right-Back'],
312,https://www.transfermarkt.com/borja-lopez/profil/spieler/214770,Borja López,1994-02-02,Gijón,Spain,['Spain'],191.0,left,,,Centre-Back,['Left-Back'],
313,https://www.transfermarkt.com/lucas-digne/profil/spieler/126664,Lucas Digne,1993-07-20,Meaux,France,['France'],178.0,left,Beckster Int.,adidas,Left-Back,,"['Mareuil-sur-Ourcq (1999–2002)', ' \r\nCrépy-en-Valois (2002–2005)', ' \r\nLOSC Lille (2005-2010)']"
314,https://www.transfermarkt.com/andre-gomes/profil/spieler/221025,André Gomes,1993-07-30,Vila Nova de Gaia,Portugal,['Portugal'],188.0,right,Wasserman,Nike,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']","['FC Porto (2005-2008)', ' \r\nFC Boavista (2008-2011)', ' \r\nSL Benfica (2011-2012)']"
315,https://www.transfermarkt.com/alex-carbonell/profil/spieler/262389,Àlex Carbonell,1997-09-15,Cerdanyola del Vallés,Spain,['Spain'],182.0,right,DV7 Management,Nike,Central Midfield,['Defensive Midfield'],
316,https://www.transfermarkt.com/denis-suarez/profil/spieler/165007,Denis Suárez,1994-01-06,Salceda de Caselas,Spain,['Spain'],176.0,right,Intermedia Sport Player,Nike,Attacking Midfield,"['Left Winger', 'Central Midfield']",['Porriño Industrial FC (-2009)']
317,https://www.transfermarkt.com/nili-perdomo/profil/spieler/282671,Nili Perdomo,1994-02-18,Las Palmas de Gran Canaria,Spain,['Spain'],176.0,right,LusoGest,Nike,Attacking Midfield,"['Right-Back', 'Right Winger']",
318,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716,Paco Alcácer,1993-08-30,Torrent,Spain,['Spain'],175.0,right,Toldra Consulting S.L.,Nike,Centre-Forward,"['Left Winger', 'Right Winger']",['CD Monte-Sión Torrent (1999-2003)']
319,https://www.transfermarkt.com/marc-cardona/profil/spieler/443222,Marc Cardona,1995-07-08,Lleida,Spain,"['Spain', 'Malta']",182.0,right,Juzzt Football,Nike,Centre-Forward,"['Left Winger', 'Right Winger']",['San Benito CF']
320,https://www.transfermarkt.com/adrian-ortola/profil/spieler/142033,Adrián Ortolá,1993-08-20,Xàbia,Spain,['Spain'],187.0,left,IFM,Nike,Goalkeeper,,
321,https://www.transfermarkt.com/yerry-mina/profil/spieler/289446,Yerry Mina,1994-09-23,Guachené,Colombia,['Colombia'],195.0,right,Wasserman,adidas,Centre-Back,,['Deportivo Pasto (2012–2013)']
322,https://www.transfermarkt.com/david-costas/profil/spieler/276111,David Costas,1995-03-26,Vigo,Spain,['Spain'],184.0,right,Intermedia Sport Player,,Centre-Back,['Right-Back'],
323,https://www.transfermarkt.com/marc-cucurella/profil/spieler/284857,Marc Cucurella,1998-07-22,Alella,Spain,['Spain'],173.0,left,EMG Mundial,Puma,Left-Back,['Left Midfield'],['Alella']
324,https://www.transfermarkt.com/nelson-semedo/profil/spieler/231572,Nélson Semedo,1993-11-16,Lisboa,Portugal,"['Portugal', 'Cape Verde']",177.0,right,Gestifute,Nike,Right-Back,['Right Midfield'],['SU Sintrense (2008-2011)']
