,Player_URL,Name,Date_of_Birth,City_of_Birth,Country_of_Birth,Citizenship,Height,Foot,Agent,Outfitter,Main_Position,Other_Position,Youth_Club
687,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,Nathan Aké,"Feb 18, 1995",['Den Haag'],['Netherlands'],"['Netherlands', ""Cote d'Ivoire""]","1,80",left,Wasserman,Nike,Centre-Back,"['Left-Back', 'Defensive Midfield']","['VV Wilhelmus (2001-2003)', ' ADO Den Haag (2003-2007)', ' Feyenoord Rotterdam (2007-2011)', ' Chelsea FC (2011-2012)']"
688,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948,Andreas Christensen,"Apr 10, 1996",['Lillerød'],['Denmark'],['Denmark'],"1,87",right,KIN Partners,adidas,Centre-Back,,['IF Skjold Birkerød (2000-2004)']
689,https://www.transfermarkt.com/ashley-cole/profil/spieler/3182,Ashley Cole,"Dec 20, 1980",['London'],['England'],"['England', 'Barbados']","1,76",left,CAA Stellar,Nike,Left-Back,,
690,https://www.transfermarkt.com/ryan-bertrand/profil/spieler/40611,Ryan Bertrand,"Aug 5, 1989",['London'],['England'],"['England', 'Egypt']","1,79",left,First Access Sports,,Left-Back,['Left Midfield'],['Gillingham FC (1998–2005)']
691,https://www.transfermarkt.com/branislav-ivanovic/profil/spieler/36827,Branislav Ivanovic,"Feb 22, 1984",['Sremska Mitrovica'],['Jugoslawien (SFR)'],['Serbia'],"1,85",right,Star Management Signings Ltd.,,Right-Back,['Centre-Back'],['FK Remont Cacak']
692,https://www.transfermarkt.com/cesar-azpilicueta/profil/spieler/57500,César Azpilicueta,"Aug 28, 1989",['Pamplona'],['Spain'],['Spain'],"1,78",right,Relatives,adidas,Right-Back,"['Left-Back', 'Centre-Back']",['CA Osasuna (2001-2006)']
693,https://www.transfermarkt.com/paulo-ferreira/profil/spieler/9832,Paulo Ferreira,"Jan 18, 1979",['Cascais'],['Portugal'],['Portugal'],"1,83",right,Gestifute,,Right-Back,"['Left-Back', 'Right Midfield']",
694,https://www.transfermarkt.com/mikel-john-obi/profil/spieler/30739,Mikel John Obi,"Apr 22, 1987",['Jos'],['Nigeria'],"['Nigeria', 'England']","1,88",right,,,Defensive Midfield,"['Central Midfield', 'Attacking Midfield']","['Pepsi Football Academy', ' Plateau United']"
695,https://www.transfermarkt.com/oriol-romeu/profil/spieler/66100,Oriol Romeu,"Sep 24, 1991",['Ulldecona'],['Spain'],['Spain'],"1,83",right,MagicPlayers,,Defensive Midfield,['Central Midfield'],"['CF Ulldecona (1996-2001)', '\r\nRCD Espanyol (2001–2004)', '\r\nFC Barcelona (2004-2009)']"
696,https://www.transfermarkt.com/nathaniel-chalobah/profil/spieler/128900,Nathaniel Chalobah,"Dec 12, 1994",['Freetown'],['Sierra Leone'],"['England', 'Sierra Leone']","1,85",right,CAA Base Ltd,,Defensive Midfield,"['Central Midfield', 'Centre-Back']","['Fulham FC (2004-2005)', ' Chelsea FC (2005-2012)']"
697,https://www.transfermarkt.com/ramires/profil/spieler/54170,Ramires,"Mar 24, 1987",['Barra do Piraí'],['Brazil'],['Brazil'],"1,79",right,,,Central Midfield,"['Right Midfield', 'Defensive Midfield']","['Royal Sport Club (2004–2005)', ' Joinville Esporte Clube (2005–2006)']"
698,https://www.transfermarkt.com/raul-meireles/profil/spieler/13168,Raúl Meireles,"Mar 17, 1983",['Porto'],['Portugal'],['Portugal'],"1,79",both,,Nike,Central Midfield,['Defensive Midfield'],['Boavista FC (1990-1996);\r\nUEFA: Boavista FC;']
699,https://www.transfermarkt.com/josh-mceachran/profil/spieler/128905,Josh McEachran,"Mar 1, 1993",['Oxford'],['England'],"['England', 'Scotland']","1,78",left,Refuel Performance Management,,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",['Chelsea FC (2001-2009)']
700,https://www.transfermarkt.com/frank-lampard/profil/spieler/3163,Frank Lampard,"Jun 20, 1978",['London'],['England'],['England'],"1,84",right,,,Central Midfield,['Attacking Midfield'],
701,https://www.transfermarkt.com/george-saville/profil/spieler/141573,George Saville,"Jun 1, 1993",['Camberley'],['England'],"['Northern Ireland', 'England']","1,76",left,Refuel Performance Management,,Central Midfield,"['Defensive Midfield', 'Left Midfield']","['Reading FC (-2004)', ' Chelsea FC (2004-2012)']"
702,https://www.transfermarkt.com/victor-moses/profil/spieler/59866,Victor Moses,"Dec 12, 1990",['Kaduna'],['Nigeria'],"['Nigeria', 'England']","1,77",right,Wasserman,Nike,Right Midfield,"['Right Winger', 'Left Winger']",['Crystal Palace FC (2001–2007)']
703,https://www.transfermarkt.com/oscar/profil/spieler/85314,Oscar,"Sep 9, 1991",['Americana'],['Brazil'],"['Brazil', 'Italy']","1,79",right,Bertolucci Sports,adidas,Attacking Midfield,"['Left Winger', 'Central Midfield']",['União Barbarense (1998–2004)\r\nSão Paulo FC (2004–2008)']
704,https://www.transfermarkt.com/marko-marin/profil/spieler/35251,Marko Marin,"Mar 13, 1989",['Bosanska Gradiska'],['Jugoslawien (SFR)'],"['Germany', 'Serbia']","1,70",right,LIAN Sports Group,,Attacking Midfield,"['Left Winger', 'Right Winger']","['SG 01 Hoechst (-1996)', ' Eintracht Frankfurt (1996-2005)']"
705,https://www.transfermarkt.com/lucas-piazon/profil/spieler/176485,Lucas Piazon,"Jan 20, 1994",['São Paulo'],['Brazil'],"['Brazil', 'Italy']","1,82",right,P&P Sport Management S.A.M.,Nike,Attacking Midfield,"['Right Winger', 'Left Winger']",
706,https://www.transfermarkt.com/florent-malouda/profil/spieler/5461,Florent Malouda,"Jun 13, 1980",['Cayenne'],['French Guiana'],"['French Guiana', 'France']","1,77",left,no agent,,Left Winger,"['Attacking Midfield', 'Left Midfield']","['ASC Remiré', ' LB Châteauroux (-1996)']"
